time,temperature_2m,dew_point_2m,apparent_temperature,relative_humidity_2m,precipitation,rain,cloud_cover,cloud_cover_mid,cloud_cover_low,cloud_cover_high,pressure_msl,surface_pressure,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,vapour_pressure_deficit
2022-01-01T00:00,21.2,19.6,23.7,91,0.2,0.2,100,60,100,82,1021.8,1021.1,21.5,0.497,0.23
2022-01-01T01:00,21.0,19.3,23.7,90,0.5,0.5,100,66,100,20,1021.3,1020.6,21.3,0.501,0.25
2022-01-01T02:00,21.1,19.7,24.2,92,0.1,0.1,100,57,100,28,1020.4,1019.7,21.2,0.5,0.21
2022-01-01T03:00,20.9,19.8,23.8,93,0.8,0.8,100,100,100,0,1019.6,1018.9,21.2,0.507,0.16
2022-01-01T04:00,21.2,19.8,23.9,92,0.8,0.8,100,85,100,81,1019.4,1018.7,21.2,0.512,0.2
2022-01-01T05:00,21.4,19.5,23.5,89,0.8,0.8,100,100,100,3,1019.5,1018.8,21.1,0.514,0.28
2022-01-01T06:00,21.3,19.6,23.0,90,0.7,0.7,100,78,100,0,1019.8,1019.1,21.1,0.515,0.26
2022-01-01T07:00,21.2,19.7,23.2,91,0.6,0.6,98,88,100,0,1020.5,1019.8,22.0,0.506,0.22
2022-01-01T08:00,21.7,19.7,23.1,88,0.4,0.4,100,45,100,0,1021.3,1020.6,21.9,0.507,0.3
2022-01-01T09:00,22.1,19.6,23.9,85,0.3,0.3,100,100,99,0,1021.9,1021.2,22.1,0.506,0.39
2022-01-01T10:00,22.9,19.9,24.6,83,0.2,0.2,100,28,100,0,1021.5,1020.8,22.5,0.505,0.47
2022-01-01T11:00,23.5,20.0,24.8,81,0.0,0.0,74,26,68,0,1021.4,1020.7,23.4,0.501,0.57
2022-01-01T12:00,22.9,19.3,24.1,80,0.3,0.3,82,73,40,0,1020.6,1019.9,23.6,0.502,0.55
2022-01-01T13:00,24.0,19.8,25.0,77,0.0,0.0,96,42,94,0,1019.4,1018.7,24.4,0.499,0.67
2022-01-01T14:00,23.2,18.9,23.7,77,0.2,0.2,83,75,36,0,1018.7,1018.0,24.4,0.498,0.65
2022-01-01T15:00,23.6,19.4,24.6,77,0.1,0.1,84,66,54,0,1018.4,1017.7,24.4,0.496,0.67
2022-01-01T16:00,22.8,18.9,23.6,79,0.3,0.3,90,62,75,0,1018.7,1018.0,23.9,0.498,0.58
2022-01-01T17:00,22.3,19.1,24.3,82,0.7,0.7,100,84,100,0,1019.2,1018.5,23.2,0.504,0.48
2022-01-01T18:00,21.7,19.4,23.3,87,0.2,0.2,100,70,100,0,1019.6,1018.9,22.6,0.503,0.34
2022-01-01T19:00,22.2,19.5,24.7,85,0.1,0.1,100,40,27,0,1019.9,1019.2,24.0,0.505,0.41
2022-01-01T20:00,22.1,19.1,24.3,83,0.2,0.2,100,100,98,0,1020.6,1019.9,23.2,0.504,0.44
2022-01-01T21:00,22.1,19.6,25.0,86,0.3,0.3,99,32,99,0,1020.6,1019.9,22.6,0.504,0.38
2022-01-01T22:00,21.7,19.6,24.5,88,0.4,0.4,100,69,100,0,1020.6,1019.9,22.2,0.505,0.31
2022-01-01T23:00,21.3,20.3,24.8,94,0.7,0.7,100,34,100,0,1020.4,1019.7,21.9,0.51,0.14
2022-01-02T00:00,21.3,19.8,24.3,91,0.8,0.8,99,98,57,0,1020.4,1019.7,21.6,0.515,0.22
2022-01-02T01:00,21.2,19.5,23.9,90,1.5,1.5,100,100,100,2,1019.8,1019.1,21.4,0.519,0.26
2022-01-02T02:00,21.0,19.9,24.0,93,2.0,2.0,100,100,100,14,1019.2,1018.5,21.4,0.518,0.17
2022-01-02T03:00,21.1,19.7,23.8,91,1.3,1.3,100,72,99,0,1018.5,1017.8,21.3,0.513,0.21
2022-01-02T04:00,21.1,19.8,23.8,92,1.2,1.2,100,100,100,42,1018.5,1017.8,21.2,0.519,0.19
2022-01-02T05:00,21.6,19.6,23.6,88,0.9,0.9,100,93,100,17,1018.7,1018.0,21.1,0.518,0.3
2022-01-02T06:00,21.8,19.8,23.2,88,0.5,0.5,100,100,100,0,1019.0,1018.3,21.1,0.516,0.3
2022-01-02T07:00,21.8,19.6,22.8,88,0.3,0.3,100,97,100,0,1019.5,1018.8,22.9,0.514,0.32
2022-01-02T08:00,22.4,19.6,23.1,84,0.5,0.5,100,100,99,0,1020.7,1020.0,22.3,0.514,0.42
2022-01-02T09:00,22.6,20.0,23.3,85,0.1,0.1,87,75,54,0,1021.3,1020.6,22.4,0.512,0.41
2022-01-02T10:00,22.6,19.8,23.1,84,0.2,0.2,82,80,18,0,1020.9,1020.2,22.5,0.51,0.43
2022-01-02T11:00,22.8,19.6,23.0,82,0.1,0.1,100,100,46,10,1020.4,1019.7,23.0,0.507,0.5
2022-01-02T12:00,22.8,19.7,23.1,83,0.3,0.3,100,99,25,6,1019.3,1018.6,23.4,0.507,0.48
2022-01-02T13:00,22.5,19.2,22.3,82,0.2,0.2,100,100,47,30,1018.3,1017.6,23.3,0.506,0.5
2022-01-02T14:00,22.3,19.5,22.6,84,0.3,0.3,100,100,7,0,1017.6,1016.9,23.1,0.506,0.43
2022-01-02T15:00,22.2,19.0,22.6,82,0.1,0.1,100,100,50,13,1017.4,1016.7,23.1,0.504,0.49
2022-01-02T16:00,21.9,19.6,23.1,87,1.2,1.2,100,100,98,3,1017.6,1016.9,22.7,0.514,0.35
2022-01-02T17:00,21.8,19.5,23.1,87,0.8,0.8,100,100,30,0,1017.9,1017.2,22.3,0.515,0.34
2022-01-02T18:00,21.6,19.2,22.7,86,0.5,0.5,100,100,54,0,1018.5,1017.8,21.8,0.515,0.36
2022-01-02T19:00,22.2,19.3,24.0,84,1.4,1.4,100,100,100,0,1018.9,1018.2,22.6,0.5,0.44
2022-01-02T20:00,21.6,19.3,23.0,87,0.5,0.5,100,100,100,0,1019.9,1019.2,22.0,0.504,0.33
2022-01-02T21:00,21.2,19.5,23.2,90,0.9,0.9,100,100,73,3,1020.2,1019.5,21.6,0.513,0.25
2022-01-02T22:00,22.0,19.7,24.5,87,0.5,0.5,100,91,100,16,1019.7,1019.0,21.4,0.513,0.36
2022-01-02T23:00,21.6,18.8,22.5,84,0.1,0.1,100,92,100,34,1019.8,1019.1,21.2,0.511,0.42
2022-01-03T00:00,21.9,19.6,24.5,87,0.3,0.3,100,58,100,59,1019.1,1018.4,21.1,0.511,0.35
2022-01-03T01:00,21.9,19.5,23.6,86,0.1,0.1,94,47,44,81,1018.5,1017.8,21.1,0.51,0.36
2022-01-03T02:00,21.8,19.3,23.4,85,0.6,0.6,100,70,21,100,1017.8,1017.1,20.9,0.512,0.38
2022-01-03T03:00,21.3,19.0,22.7,87,0.1,0.1,100,64,100,100,1017.4,1016.7,20.8,0.509,0.34
2022-01-03T04:00,20.8,19.6,23.6,93,0.4,0.4,100,81,80,100,1017.4,1016.7,20.7,0.511,0.18
2022-01-03T05:00,21.0,19.7,24.3,93,0.1,0.1,100,100,100,100,1017.5,1016.8,20.8,0.509,0.18
2022-01-03T06:00,21.2,20.0,24.6,93,0.2,0.2,100,59,100,99,1017.6,1016.9,20.9,0.509,0.18
2022-01-03T07:00,21.5,20.0,24.5,91,0.3,0.3,100,29,100,21,1018.2,1017.5,21.9,0.508,0.22
2022-01-03T08:00,22.3,19.4,24.7,84,0.2,0.2,79,16,24,71,1018.8,1018.1,22.0,0.508,0.43
2022-01-03T09:00,22.2,19.2,23.8,83,0.3,0.3,90,85,53,4,1019.4,1018.7,22.5,0.509,0.46
2022-01-03T10:00,22.7,19.7,25.2,83,0.1,0.1,92,81,9,55,1019.2,1018.5,23.1,0.507,0.46
2022-01-03T11:00,23.1,19.7,25.2,81,0.1,0.1,85,61,61,4,1018.6,1017.9,23.7,0.504,0.54
2022-01-03T12:00,23.4,19.7,25.3,79,0.2,0.2,90,75,39,50,1017.5,1016.8,24.2,0.503,0.59
2022-01-03T13:00,23.7,19.5,25.4,77,0.0,0.0,75,69,17,8,1016.5,1015.8,24.7,0.5,0.66
2022-01-03T14:00,23.6,19.4,25.0,77,0.0,0.0,60,55,13,0,1015.7,1015.0,25.0,0.497,0.66
2022-01-03T15:00,23.7,19.2,24.9,76,0.1,0.1,83,46,19,63,1015.5,1014.8,25.0,0.495,0.7
2022-01-03T16:00,23.4,19.1,24.6,77,0.0,0.0,100,32,21,100,1015.9,1015.2,24.6,0.493,0.67
2022-01-03T17:00,23.0,19.2,24.9,79,0.0,0.0,92,36,20,87,1016.2,1015.5,23.9,0.492,0.58
2022-01-03T18:00,22.4,19.1,24.6,82,0.0,0.0,100,27,11,100,1017.0,1016.3,23.1,0.492,0.5
2022-01-03T19:00,21.8,19.6,24.7,87,0.0,0.0,99,40,14,24,1017.8,1017.1,22.9,0.496,0.33
2022-01-03T20:00,20.5,19.4,23.1,93,0.2,0.2,61,30,19,31,1018.3,1017.6,22.2,0.498,0.16
2022-01-03T21:00,20.3,19.4,23.0,94,0.1,0.1,93,10,27,90,1018.4,1017.7,21.8,0.497,0.14
2022-01-03T22:00,19.7,19.0,22.0,96,0.0,0.0,95,4,42,92,1018.4,1017.7,21.3,0.497,0.1
2022-01-03T23:00,19.6,19.0,22.1,96,0.0,0.0,100,0,37,100,1018.3,1017.6,21.0,0.496,0.09
2022-01-04T00:00,19.5,19.0,22.1,97,0.0,0.0,84,12,70,44,1018.1,1017.4,20.8,0.495,0.08
2022-01-04T01:00,19.1,18.9,21.6,98,0.1,0.1,100,25,48,100,1017.6,1016.9,20.6,0.495,0.03
2022-01-04T02:00,19.4,19.1,22.0,98,0.0,0.0,87,29,51,65,1016.9,1016.2,20.5,0.495,0.04
2022-01-04T03:00,19.8,19.4,22.7,98,0.0,0.0,99,0,50,99,1016.4,1015.7,20.5,0.494,0.06
2022-01-04T04:00,19.6,19.2,22.2,98,0.1,0.1,100,13,58,100,1016.3,1015.6,20.4,0.494,0.05
2022-01-04T05:00,20.8,19.8,23.9,94,0.2,0.2,100,9,31,100,1016.6,1015.9,20.2,0.496,0.15
2022-01-04T06:00,21.0,20.0,24.4,94,0.1,0.1,79,30,44,51,1016.9,1016.2,20.0,0.496,0.15
2022-01-04T07:00,21.1,20.2,24.4,95,0.2,0.2,96,0,45,75,1017.4,1016.7,21.2,0.502,0.14
2022-01-04T08:00,21.9,20.2,25.3,90,0.2,0.2,100,7,100,37,1018.0,1017.3,21.8,0.502,0.26
2022-01-04T09:00,22.8,20.0,25.4,84,0.3,0.3,67,12,34,46,1018.4,1017.7,22.8,0.503,0.44
2022-01-04T10:00,23.2,20.1,25.6,82,0.1,0.1,55,6,50,9,1018.1,1017.4,23.7,0.502,0.5
2022-01-04T11:00,23.6,20.1,25.7,81,0.1,0.1,57,0,49,15,1017.4,1016.7,24.6,0.5,0.56
2022-01-04T12:00,23.9,20.2,26.4,80,0.2,0.2,73,31,62,1,1016.8,1016.1,25.4,0.499,0.59
2022-01-04T13:00,23.9,20.2,25.8,80,0.1,0.1,58,16,52,0,1015.8,1015.1,25.7,0.498,0.6
2022-01-04T14:00,23.9,20.3,26.0,80,0.2,0.2,48,11,43,1,1015.0,1014.3,26.1,0.496,0.58
2022-01-04T15:00,23.8,20.2,26.0,80,0.1,0.1,40,7,36,0,1014.7,1014.0,25.9,0.495,0.58
2022-01-04T16:00,23.7,20.0,25.8,80,0.2,0.2,100,34,100,26,1015.1,1014.4,25.4,0.494,0.58
2022-01-04T17:00,23.2,20.3,25.8,84,0.1,0.1,74,28,61,9,1015.6,1014.9,24.7,0.494,0.46
2022-01-04T18:00,22.7,20.2,25.7,86,0.0,0.0,66,21,42,27,1015.9,1015.2,23.8,0.494,0.38
2022-01-04T19:00,22.7,20.2,25.6,86,0.1,0.1,100,14,35,76,1016.4,1015.7,23.6,0.498,0.39
2022-01-04T20:00,22.7,20.2,25.7,86,0.1,0.1,86,14,32,77,1016.9,1016.2,23.1,0.498,0.39
2022-01-04T21:00,22.1,20.3,25.4,90,0.1,0.1,100,19,100,43,1017.1,1016.4,22.7,0.498,0.27
2022-01-04T22:00,21.6,20.3,24.8,92,0.1,0.1,100,18,100,8,1016.9,1016.2,22.4,0.498,0.21
2022-01-04T23:00,21.5,20.3,24.8,93,0.2,0.2,68,8,66,5,1016.7,1016.0,22.2,0.499,0.19
2022-01-05T00:00,21.3,20.3,24.5,94,0.2,0.2,100,14,100,0,1016.1,1015.4,22.0,0.5,0.14
2022-01-05T01:00,22.2,20.3,25.9,89,0.1,0.1,100,8,100,0,1015.6,1014.9,21.8,0.5,0.29
2022-01-05T02:00,22.0,20.4,25.9,91,0.2,0.2,100,5,100,0,1014.7,1014.0,21.7,0.501,0.25
2022-01-05T03:00,21.4,20.4,25.1,94,0.1,0.1,100,3,100,0,1013.8,1013.1,21.6,0.5,0.16
2022-01-05T04:00,21.6,20.5,25.6,93,0.2,0.2,100,9,100,0,1013.5,1012.8,21.5,0.501,0.17
2022-01-05T05:00,21.6,20.5,25.7,94,0.2,0.2,100,5,100,0,1013.8,1013.1,21.3,0.501,0.16
2022-01-05T06:00,21.6,20.5,25.6,94,0.3,0.3,100,9,100,0,1014.5,1013.8,21.3,0.502,0.16
2022-01-05T07:00,22.0,20.6,25.8,92,0.2,0.2,100,10,100,4,1015.4,1014.7,22.5,0.508,0.21
